"ID","ROI1","ROI2","ROI3","ROI4","ROI5"
"OBSERVATION.61",8243,5786,2608,17534,19065
"OBSERVATION.62",20693,7619,3621,13543,16826
"OBSERVATION.63",77541,7068,2043,13757,16501
"OBSERVATION.64",76870,5873,2455,17473,21008
"OBSERVATION.65",19047,4049,2192,9936,10968
"OBSERVATION.66",49329,6881,2957,13292,21367
"OBSERVATION.67",36344,5244,2226,13541,18129
"OBSERVATION.68",40544,6043,4038,25477,20371
"OBSERVATION.69",23099,5774,3781,13808,22782
"OBSERVATION.70",48200,4996,3396,14680,19710
"OBSERVATION.71",61951,3441,1670,9290,14170
"OBSERVATION.72",52826,5320,1972,10130,11347
"OBSERVATION.73",31530,3347,2973,17521,19660
"OBSERVATION.74",12962,7197,3220,17268,17743
"OBSERVATION.75",44841,8151,2863,14246,18177
"OBSERVATION.76",52225,7506,3873,20526,23193
"OBSERVATION.77",41988,5743,3311,11128,22686
"OBSERVATION.78",36193,6096,2884,11460,11256
"OBSERVATION.79",45488,8325,5593,21978,24849
"OBSERVATION.80",26194,6186,4094,19067,19183
"OBSERVATION.81",51002,7635,1547,9360,22064
"OBSERVATION.82",70672,5966,2763,22431,29169
"OBSERVATION.83",55158,5974,3115,16953,18136
"OBSERVATION.84",61686,6332,3183,12852,20530
"OBSERVATION.85",25190,8036,3482,17119,18930
"OBSERVATION.86",62197,6152,2101,13328,17666
"OBSERVATION.87",48705,6013,3107,16289,13955
"OBSERVATION.88",48111,3426,1856,14577,10985
"OBSERVATION.89",38009,5458,2553,18336,10617
"OBSERVATION.90",59398,7125,4141,11501,16106
"OBSERVATION.91",34660,8305,3161,15169,21544
"OBSERVATION.92",18417,5846,2531,12454,12066
"OBSERVATION.93",55797,7600,5001,14618,22938
"OBSERVATION.94",73555,6081,4665,20526,18554
"OBSERVATION.95",44294,6575,3671,14178,27186
"OBSERVATION.96",14662,8685,4753,16820,15231
"OBSERVATION.97",19842,7678,3531,14532,22411
"OBSERVATION.98",46163,6156,3749,15574,19900
"OBSERVATION.99",31229,5176,3180,17067,14631
"OBSERVATION.100",56963,6899,4637,17244,20495
"OBSERVATION.101",20355,5243,2534,19828,15380
"OBSERVATION.102",90139,6037,2678,14862,18180
"OBSERVATION.103",90627,4364,3515,22426,23637
"OBSERVATION.104",55784,3411,1753,13239,19021
"OBSERVATION.105",40531,6644,1707,12527,17678
"OBSERVATION.106",13659,7368,3091,13671,23366
"OBSERVATION.107",10894,6417,3652,15803,20368
"OBSERVATION.108",28590,8156,4350,18894,16952
"OBSERVATION.109",33623,5490,2679,16451,19050
"OBSERVATION.110",57734,7955,2719,19887,25318
"OBSERVATION.111",43647,4625,1855,13866,16998
"OBSERVATION.112",35128,6203,4008,21587,21230
"OBSERVATION.113",144279,7478,3612,16752,20853
"OBSERVATION.114",19443,6631,2971,16039,18036
"OBSERVATION.115",67474,6314,1449,17943,24215
"OBSERVATION.116",141462,5681,2998,21334,23169
"OBSERVATION.117",43969,7314,3972,17556,25535
"OBSERVATION.118",71998,6329,3377,23167,15109
"OBSERVATION.119",53659,6777,4682,15328,20165
"OBSERVATION.120",72727,5890,2745,9044,11458
"OBSERVATION.121",61884,5266,3314,13853,13650
"OBSERVATION.122",40509,3264,1588,12871,12409
"OBSERVATION.123",27248,5172,2481,19193,17627
"OBSERVATION.124",50777,7739,4869,15118,25844
"OBSERVATION.125",25984,7689,4934,17713,17241
"OBSERVATION.126",36453,6158,3763,22000,16728
"OBSERVATION.127",37748,5114,2601,13104,19784
"OBSERVATION.128",9151,8091,3189,23386,24340
"OBSERVATION.129",18918,7109,3052,18189,20848
"OBSERVATION.130",20764,8205,3042,14185,14355
"OBSERVATION.131",22550,5812,3372,20132,23598
"OBSERVATION.132",26513,8668,4067,18012,21626
"OBSERVATION.133",40392,8140,3301,24613,20922
"OBSERVATION.134",25372,10164,4716,20655,27396
"OBSERVATION.135",57188,4657,1922,20363,16560
"OBSERVATION.136",97254,6357,3922,20778,23034
"OBSERVATION.137",64899,5158,3274,16077,21500
"OBSERVATION.138",29248,4994,3479,13933,13704
"OBSERVATION.139",62931,6009,2862,11633,15819
"OBSERVATION.140",37425,6231,3879,18210,20769
"OBSERVATION.141",96680,7215,2871,14239,16985
"OBSERVATION.142",25128,4277,2912,13723,13232
"OBSERVATION.143",38081,7726,3482,15161,16253
"OBSERVATION.144",24293,5672,2179,9733,11617
"OBSERVATION.145",47617,7865,4043,11466,15832
"OBSERVATION.146",74227,6556,3401,16800,19293
"OBSERVATION.147",39866,3674,1690,15476,16572
"OBSERVATION.148",27394,4256,2373,15739,12507
"OBSERVATION.149",52606,4647,1797,16554,14555
"OBSERVATION.150",58202,6331,2856,10668,7892
"OBSERVATION.151",21027,7804,2702,16459,23428
"OBSERVATION.152",29251,6424,4047,12757,13847
"OBSERVATION.153",22905,6639,4115,17034,20459
"OBSERVATION.154",26815,6911,3480,9033,9514
"OBSERVATION.155",59123,5903,3053,14245,21298
"OBSERVATION.156",23807,8740,2867,13346,19617
"OBSERVATION.157",49106,4504,2081,12391,15951
"OBSERVATION.158",21169,7766,4130,18311,21866
"OBSERVATION.159",28464,5803,4958,20375,16080
"OBSERVATION.160",40952,7207,3990,17935,23218
"OBSERVATION.161",37704,4159,2321,10972,14084
"OBSERVATION.162",32528,6043,2663,10800,14449
"OBSERVATION.163",63569,7182,2773,7698,18180
"OBSERVATION.164",37125,5603,2635,8572,12509
"OBSERVATION.165",28290,5915,3248,18515,10173
"OBSERVATION.166",27509,5476,2934,14134,14610
"OBSERVATION.167",59389,8157,4740,15518,22562
"OBSERVATION.168",57737,6190,2674,21752,24795
"OBSERVATION.169",77060,6862,4378,16541,18417
"OBSERVATION.170",23525,6010,3139,5832,11481
"OBSERVATION.171",129354,6971,2613,13069,22265
"OBSERVATION.172",36359,3405,1814,16411,20113
"OBSERVATION.173",45050,5324,1850,11048,18030
"OBSERVATION.174",26039,5776,3140,15285,22087
"OBSERVATION.175",42322,9713,3801,15889,15176
"OBSERVATION.176",103254,5868,2618,17089,18032
"OBSERVATION.177",11952,6722,3351,18305,17768
"OBSERVATION.178",57224,4987,1717,14308,15803
"OBSERVATION.179",21056,7092,3838,14615,17842
"OBSERVATION.180",43152,5752,3397,17188,14766
"OBSERVATION.181",34220,6002,2752,8472,18539
"OBSERVATION.182",22575,4069,2328,11749,10040
"OBSERVATION.183",38964,7857,3492,11370,14710
"OBSERVATION.184",80868,6153,3535,17047,23998
"OBSERVATION.185",41824,8224,4069,20646,15943
"OBSERVATION.186",25692,7019,2843,11172,13217
"OBSERVATION.187",89006,5743,3943,16282,18393
"OBSERVATION.188",31225,7361,3697,14646,18263
"OBSERVATION.189",17878,7389,3155,22163,19626
"OBSERVATION.190",60658,7995,1642,10386,13552
"OBSERVATION.191",37311,4873,2808,20812,14544
"OBSERVATION.192",31650,6434,4064,11128,17818
"OBSERVATION.193",25008,7056,4379,20587,17716
"OBSERVATION.194",38408,3443,2145,10755,19095
"OBSERVATION.195",84551,5406,1520,16471,16425
"OBSERVATION.196",100557,7398,3691,22899,19114
"OBSERVATION.197",67251,5621,2732,15954,15629
"OBSERVATION.198",44592,6985,3935,17291,22851
"OBSERVATION.199",103957,7845,4702,11829,18844
"OBSERVATION.200",32932,7287,3206,13789,22542
"OBSERVATION.201",25367,4526,1916,20041,12847
"OBSERVATION.202",44347,5353,2846,12973,15321
"OBSERVATION.203",83178,4633,3107,11200,20971
"OBSERVATION.204",102398,6433,2268,14063,14803
"OBSERVATION.205",12524,5092,4522,14101,14926
"OBSERVATION.206",68287,7160,3746,17027,21198
"OBSERVATION.207",72773,8589,5196,18108,20846
"OBSERVATION.208",116711,4398,3696,18493,22270
"OBSERVATION.209",26708,5799,4353,17147,12397
"OBSERVATION.210",38819,5806,3325,21703,16580
"OBSERVATION.211",58406,6054,2664,9284,16611
"OBSERVATION.212",100268,7926,3607,19679,15071
"OBSERVATION.213",50722,6578,4143,16019,13818
"OBSERVATION.214",21161,8109,3516,16844,21897
"OBSERVATION.215",34741,7335,2451,22002,21567
"OBSERVATION.216",44365,5697,1463,11947,14238
"OBSERVATION.217",32942,4772,1569,16115,21697
"OBSERVATION.218",17303,7903,4499,19441,13083
"OBSERVATION.219",37916,4515,3832,12515,21198
"OBSERVATION.220",97587,8249,3463,19390,19729
"OBSERVATION.221",15253,9232,3681,16170,17248
"OBSERVATION.222",30402,8247,2618,8175,14390
"OBSERVATION.223",30496,7229,3061,19981,15149
"OBSERVATION.224",28279,6252,3590,18925,24538
"OBSERVATION.225",63397,5747,2514,12857,17504
"OBSERVATION.226",32592,7849,3009,11988,19556
"OBSERVATION.227",19022,8821,4604,21608,19250
"OBSERVATION.228",36904,6810,3764,17288,19753
"OBSERVATION.229",33169,4825,1823,19135,15689
"OBSERVATION.230",68486,7267,2767,17344,23231
"OBSERVATION.231",19533,5556,2304,8108,15745
"OBSERVATION.232",20656,5088,2897,18428,22325
"OBSERVATION.233",31968,7670,3489,11679,14424
"OBSERVATION.234",45389,8008,2163,16179,20954
"OBSERVATION.235",107478,5109,2576,19564,21213
"OBSERVATION.236",25372,8849,4248,17682,22835
"OBSERVATION.237",105141,3819,2018,18499,14472
"OBSERVATION.238",23472,5061,3224,16539,13463
"OBSERVATION.239",63272,4244,3289,19753,15166
"OBSERVATION.240",14119,7381,3670,14763,12498
"OBSERVATION.241",49300,6061,5599,16583,17579
"OBSERVATION.242",45571,4191,3016,13184,19877
"OBSERVATION.243",29533,4220,2694,17215,17434
"OBSERVATION.244",76922,4233,2799,17652,15138
"OBSERVATION.245",16337,7389,2118,17620,18351
"OBSERVATION.246",42241,4833,2543,16062,21409
"OBSERVATION.247",30151,4912,2789,19611,22031
"OBSERVATION.248",35139,8168,4786,19212,19969
"OBSERVATION.249",13760,7655,4149,16827,17747
"OBSERVATION.250",41936,7311,3795,12638,24973
"OBSERVATION.251",16891,7718,4814,14153,14204
"OBSERVATION.252",68544,3879,3098,20162,18208
"OBSERVATION.253",12712,5894,2789,20743,17586
"OBSERVATION.254",20035,6266,3040,14831,19833
"OBSERVATION.255",137949,7683,3371,20948,13991
"OBSERVATION.256",67258,5293,3419,18946,18124
"OBSERVATION.257",28025,6384,3723,15017,21733
"OBSERVATION.258",51364,4353,2724,13686,18806
"OBSERVATION.259",31750,4974,2326,22191,16434
"OBSERVATION.260",58324,7530,4707,19775,19656
"OBSERVATION.261",33342,6420,4550,11249,14165
"OBSERVATION.262",42412,7013,3446,15234,14971
"OBSERVATION.263",85473,5371,2624,19323,14947
"OBSERVATION.264",74653,9985,3292,22302,22090
"OBSERVATION.265",34054,9161,3273,20350,23587
"OBSERVATION.266",17528,5663,2901,15415,17374
"OBSERVATION.267",24954,6494,2660,12648,21280
"OBSERVATION.268",9349,9332,3952,14618,16745
"OBSERVATION.269",24235,6005,2207,20944,21545
"OBSERVATION.270",71288,6678,2977,10593,27028
"OBSERVATION.271",41423,4925,2051,16602,15486
"OBSERVATION.272",39645,4954,2737,15877,14661
"OBSERVATION.273",23262,6284,2595,11933,26398
"OBSERVATION.274",32643,3429,2265,8813,10092
"OBSERVATION.275",41028,4668,2529,10517,19499
"OBSERVATION.276",40062,4177,2724,19558,11222
"OBSERVATION.277",26014,5878,4964,10905,19162
"OBSERVATION.278",43662,5168,4068,19880,18796
"OBSERVATION.279",48055,5368,2820,17392,20775
"OBSERVATION.280",51539,4401,3239,22417,24340
"OBSERVATION.281",19885,4533,3189,8247,14295
"OBSERVATION.282",33368,4951,3239,15968,13614
"OBSERVATION.283",55200,9236,4712,16861,22023
"OBSERVATION.284",26657,8036,3396,21318,19533
"OBSERVATION.285",29682,6084,3627,14485,19645
"OBSERVATION.286",35878,5292,3917,15736,19559
"OBSERVATION.287",35522,5562,3903,21918,20582
"OBSERVATION.288",46086,4339,3715,12220,12672
"OBSERVATION.289",52493,4166,2859,12722,14500
"OBSERVATION.290",28611,3337,2752,14108,17404
"OBSERVATION.291",16010,5218,3262,16502,15118
"OBSERVATION.292",22976,3882,3018,12031,16638
"OBSERVATION.293",60193,9205,4271,21701,22322
"OBSERVATION.294",24859,8870,4247,14359,26308
"OBSERVATION.295",17139,8494,4619,21823,13977
"OBSERVATION.296",33858,5225,2589,20550,23605
"OBSERVATION.297",105922,5944,3703,14278,22414
"OBSERVATION.298",12833,7272,4129,16307,13987
"OBSERVATION.299",13480,7108,4863,14846,23346
"OBSERVATION.300",28778,6941,2657,13237,11331
"OBSERVATION.301",34252,6742,4269,12212,18890
"OBSERVATION.302",53736,8741,3644,15410,22797
"OBSERVATION.303",54837,4626,2185,18135,17936
"OBSERVATION.304",25901,8652,4390,17022,13960
"OBSERVATION.305",44020,6431,1798,11029,14311
"OBSERVATION.306",41683,6684,2789,16921,21906
"OBSERVATION.307",64216,8101,3972,23580,25502
"OBSERVATION.308",39603,7627,3244,22594,20501
"OBSERVATION.309",45118,6563,3805,15187,16928
"OBSERVATION.310",41827,6442,2692,14720,16820
"OBSERVATION.311",37185,6069,3336,19896,19060
"OBSERVATION.312",9690,6531,3014,18140,20700
"OBSERVATION.313",91585,8054,5695,19803,18063
"OBSERVATION.314",34879,6825,2073,11594,19890
"OBSERVATION.315",28853,5750,2980,15294,23252
"OBSERVATION.316",65843,4632,2129,14005,16409
"OBSERVATION.317",16710,8136,3262,14864,11229
"OBSERVATION.318",17577,8700,3584,13918,18316
"OBSERVATION.319",80135,6399,2775,22226,22071
"OBSERVATION.320",37660,5227,3472,19953,22639
"OBSERVATION.321",39326,7020,2482,11154,9190
"OBSERVATION.322",23418,7278,4791,17894,22362
"OBSERVATION.323",30510,7522,4540,19088,24751
"OBSERVATION.324",45770,7612,3483,17192,19155
"OBSERVATION.325",45661,5548,4011,19626,22661
"OBSERVATION.326",21314,7733,4874,18492,24551
"OBSERVATION.327",42129,7696,3874,23921,21557
"OBSERVATION.328",13524,7405,3139,18192,18921
"OBSERVATION.329",26733,6088,2206,16005,18056
"OBSERVATION.330",26195,7698,4006,14657,18507
"OBSERVATION.331",66905,6933,3168,13209,16582
"OBSERVATION.332",27489,7864,4585,19222,15217
"OBSERVATION.333",43915,3758,3621,17616,18426
"OBSERVATION.334",50143,5128,1979,10259,23635
"OBSERVATION.335",15905,6575,2111,13928,12294
"OBSERVATION.336",42381,7872,3967,13728,20458
"OBSERVATION.337",78108,4586,2707,5852,7332
"OBSERVATION.338",52933,3925,3400,20929,13277
"OBSERVATION.339",36651,7290,3660,19849,16258
"OBSERVATION.340",81374,5375,4696,22377,16659
"OBSERVATION.341",27968,6502,2941,17648,17602
"OBSERVATION.342",17756,6428,4051,12917,23293
"OBSERVATION.343",69778,5593,2461,12811,14237
"OBSERVATION.344",61680,6469,4265,19591,15196
"OBSERVATION.345",20725,5489,3501,17835,12481
"OBSERVATION.346",44055,7744,3488,11657,20673
"OBSERVATION.347",29323,7543,4975,15438,17851
"OBSERVATION.348",70831,4463,3561,20730,13283
"OBSERVATION.349",12509,7169,2891,13822,18130
"OBSERVATION.350",13291,8604,2955,14188,13271
"OBSERVATION.351",30829,6237,2393,18551,16054
"OBSERVATION.352",41883,5483,1996,14397,13545
"OBSERVATION.353",43676,6229,2593,9585,11774
"OBSERVATION.354",64162,4486,3144,15668,18608
"OBSERVATION.355",36924,5676,2474,17544,22601
"OBSERVATION.356",55568,6818,3686,11784,22187
"OBSERVATION.357",37286,5140,3388,20469,14533
"OBSERVATION.358",19722,4738,2508,17256,15796
"OBSERVATION.359",47992,4440,2011,12516,15176
"OBSERVATION.360",26343,5970,2791,12802,14756
"OBSERVATION.361",16748,7060,3129,11953,19003
"OBSERVATION.362",54105,5803,1787,15334,13296
"OBSERVATION.363",20057,3310,2338,11603,20189
"OBSERVATION.364",38759,4497,2211,9018,16050
"OBSERVATION.365",33423,9309,3225,15449,19964
"OBSERVATION.366",66640,6053,1807,9908,18535
"OBSERVATION.367",33182,6148,4719,18417,24686
"OBSERVATION.368",14192,7622,4872,15952,20016
"OBSERVATION.369",45137,7771,4645,19078,29858
"OBSERVATION.370",44521,4205,2004,10129,18653
"OBSERVATION.371",24373,9925,4280,19546,27623
"OBSERVATION.372",31279,6226,3396,11007,14084
"OBSERVATION.373",30114,8300,4296,21652,30182
"OBSERVATION.374",22533,7024,3323,14936,17781
"OBSERVATION.375",20175,6906,3715,14461,29083
"OBSERVATION.376",49556,7662,5214,24607,26408
"OBSERVATION.377",38553,4298,2897,15833,25592
"OBSERVATION.378",27789,9164,4597,13432,21657
"OBSERVATION.379",79404,7348,4155,14493,17405
"OBSERVATION.380",65033,5545,3588,11048,22278
"OBSERVATION.381",20929,6758,4848,20427,20672
"OBSERVATION.382",50091,6439,3649,19567,17527
"OBSERVATION.383",18658,7912,2931,19554,21341
"OBSERVATION.384",44753,8576,4090,15814,20715
"OBSERVATION.385",15725,6174,4911,13217,16314
"OBSERVATION.386",27531,8874,4105,20608,16874
"OBSERVATION.387",18220,4228,3283,17378,18213
"OBSERVATION.388",56687,5994,3594,15427,21837
"OBSERVATION.389",26033,8785,4162,16058,19748
"OBSERVATION.390",56491,6804,4193,14317,18542
"OBSERVATION.391",63059,6010,1955,11888,18660
"OBSERVATION.392",18234,7520,4192,13178,16444
"OBSERVATION.393",105779,7608,3228,13792,21216
"OBSERVATION.394",28360,8878,4361,15049,21009
"OBSERVATION.395",80428,5943,4749,22094,22080
"OBSERVATION.396",36150,6485,2494,14973,15606
"OBSERVATION.397",90801,4258,2390,11801,16998
"OBSERVATION.398",7728,8426,4067,21126,15141
"OBSERVATION.399",73238,6836,2871,15875,17795
"OBSERVATION.400",58415,4025,2309,13051,24907
"OBSERVATION.401",60582,5624,3357,10966,21852
"OBSERVATION.402",12512,7124,3340,12034,18360
"OBSERVATION.403",47067,4364,3854,12339,18928
"OBSERVATION.404",58828,9800,3630,14616,17522
"OBSERVATION.405",54500,5669,3410,17100,28457
"OBSERVATION.406",44882,8656,4527,21744,17329
"OBSERVATION.407",28214,5201,3798,24455,24455
"OBSERVATION.408",70927,5662,1440,12950,11008
"OBSERVATION.409",25120,7151,3444,15028,22742
"OBSERVATION.410",29471,6728,4071,10149,22308
"OBSERVATION.411",46486,5087,3031,11471,13101
"OBSERVATION.412",49271,7724,3562,16721,21032
"OBSERVATION.413",34948,5754,3360,11965,14586
"OBSERVATION.414",29513,5671,2961,16294,11684
"OBSERVATION.415",57493,4785,2357,13883,15262
"OBSERVATION.416",44352,10211,3717,24037,27598
"OBSERVATION.417",18242,7553,3433,19860,14795
"OBSERVATION.418",60649,5771,3565,18923,19835
"OBSERVATION.419",64190,7353,5649,14288,16609
"OBSERVATION.420",50498,5199,3252,10790,20369
"OBSERVATION.421",39445,6533,1676,16481,20780
"OBSERVATION.422",33506,5658,4470,19347,16382
"OBSERVATION.423",23828,5981,3450,22041,17568
"OBSERVATION.424",59835,5872,3956,16729,22466
"OBSERVATION.425",30452,8735,3125,17452,25125
"OBSERVATION.426",20049,7173,3245,22877,26098
"OBSERVATION.427",68542,4929,3253,17720,14691
"OBSERVATION.428",33045,5853,3095,21542,21945
"OBSERVATION.429",64975,5677,2906,16238,14485
"OBSERVATION.430",30853,4631,3445,13227,15708
"OBSERVATION.431",50654,6341,3264,13743,22709
"OBSERVATION.432",77645,7457,4180,21065,19265
"OBSERVATION.433",43862,7235,5317,18637,23257
"OBSERVATION.434",24477,6050,2801,13963,13582
"OBSERVATION.435",30288,5087,3834,15072,13733
"OBSERVATION.436",87699,6667,3360,11622,16326
"OBSERVATION.437",40625,8548,4786,13471,19239
"OBSERVATION.438",35865,6102,3303,15003,21103
"OBSERVATION.439",41007,8437,3437,10010,15396
"OBSERVATION.440",45411,4000,2344,9901,12095
"OBSERVATION.441",14948,5914,1851,10678,21991
"OBSERVATION.442",66814,5516,3757,15748,13820
"OBSERVATION.443",45493,4485,2546,16507,22191
"OBSERVATION.444",49826,8266,2981,16545,27604
"OBSERVATION.445",97004,5565,2148,12640,18007
"OBSERVATION.446",41895,3775,3135,15129,14338
"OBSERVATION.447",35574,6230,2608,10458,21883
"OBSERVATION.448",22682,10433,3947,22493,21150
"OBSERVATION.449",37171,5607,4419,16292,16153
"OBSERVATION.450",29030,4450,3479,15405,15108
"OBSERVATION.451",77428,7576,4036,18129,20974
"OBSERVATION.452",62253,4549,3362,14334,19050
"OBSERVATION.453",44663,5001,3154,9666,19410
"OBSERVATION.454",26285,5090,4694,17347,20441
"OBSERVATION.455",62953,5807,3563,14697,15485
"OBSERVATION.456",26053,8210,5118,20211,21119
"OBSERVATION.457",33093,8913,4041,15151,16362
"OBSERVATION.458",27722,7963,5000,17043,20316
"OBSERVATION.459",26618,8077,3427,18301,23968
"OBSERVATION.460",74681,2861,1381,10976,20134
"OBSERVATION.461",42705,4341,2302,14440,13577
"OBSERVATION.462",34910,4563,3434,13382,15085
"OBSERVATION.463",34151,6632,2972,16312,25628
"OBSERVATION.464",55888,6665,3196,19512,18725
"OBSERVATION.465",22420,7100,3348,17554,19574
"OBSERVATION.466",16356,5956,4388,18163,14466
"OBSERVATION.467",30418,5439,2944,16399,19502
"OBSERVATION.468",13796,7915,2625,15913,18620
"OBSERVATION.469",81891,5863,2324,17655,11057
"OBSERVATION.470",30050,4914,2683,14083,22278
"OBSERVATION.471",28298,9546,3810,20176,19474
"OBSERVATION.472",37458,5310,3436,12830,19637
"OBSERVATION.473",10406,9491,4014,12778,11957
"OBSERVATION.474",51605,5768,1359,13246,9823
"OBSERVATION.475",39908,6772,3607,13498,19531
"OBSERVATION.476",28253,6281,3471,20468,22027
"OBSERVATION.477",102930,7050,3330,17183,23659
"OBSERVATION.478",35523,7940,2579,14505,27775
"OBSERVATION.479",13040,5349,3005,18943,19494
"OBSERVATION.480",53233,6758,5050,12986,20628
"OBSERVATION.481",19998,8623,3287,17477,31105
"OBSERVATION.482",32086,8805,3347,20629,19198
"OBSERVATION.483",38998,8968,4456,15329,23166
"OBSERVATION.484",32210,4344,1955,11108,18796
"OBSERVATION.485",32526,6255,4912,15367,16208
"OBSERVATION.486",36039,6020,3006,24068,18198
"OBSERVATION.487",53546,6232,4662,14749,17264
"OBSERVATION.488",90884,8956,4795,20289,20663
"OBSERVATION.489",54562,5618,2155,9074,12021
"OBSERVATION.490",40777,7500,3512,21037,22135
"OBSERVATION.491",41707,8475,4705,21639,20357
"OBSERVATION.492",62274,4802,3216,23034,20288
"OBSERVATION.493",59108,5672,3448,19518,21515
"OBSERVATION.494",49045,6958,4260,21449,22942
"OBSERVATION.495",11757,7586,4708,24852,21627
"OBSERVATION.496",33645,6307,3098,16579,12707
"OBSERVATION.497",44089,7005,1822,16431,18049
"OBSERVATION.498",11858,7212,3992,19421,13702
"OBSERVATION.499",41582,5106,1716,15232,24259
"OBSERVATION.500",58167,8739,3389,16975,20686
"OBSERVATION.501",48805,5305,2960,17863,22537
"OBSERVATION.502",90571,6110,2572,13392,20225
"OBSERVATION.503",26610,6646,4018,15894,24915
"OBSERVATION.504",56082,5333,2063,17526,17115
"OBSERVATION.505",63443,8721,5015,17084,22415
"OBSERVATION.506",81921,7153,3271,7579,13018
"OBSERVATION.507",47085,8198,4698,21131,21611
"OBSERVATION.508",26693,5945,1858,9148,17330
"OBSERVATION.509",26942,7013,3552,18645,18766
"OBSERVATION.510",69918,6730,2402,13420,12111
"OBSERVATION.511",64574,4439,2806,11551,14166
"OBSERVATION.512",55268,5668,4274,16161,22114
"OBSERVATION.513",41680,6808,2259,12042,13308
"OBSERVATION.514",76409,4918,2985,18102,14696
"OBSERVATION.515",50609,4213,2768,15414,19760
"OBSERVATION.516",60719,6515,4365,21244,21807
"OBSERVATION.517",80406,5142,3417,21246,23021
"OBSERVATION.518",42876,4977,2232,15563,18391
"OBSERVATION.519",15816,6521,5774,16473,17173
"OBSERVATION.520",15620,8137,4185,14880,21935
"OBSERVATION.521",28699,8247,2159,14764,15962
"OBSERVATION.522",43564,8613,4423,18882,21195
"OBSERVATION.523",50133,4311,3223,17731,20298
"OBSERVATION.524",29492,5033,2906,20187,14767
"OBSERVATION.525",18188,9325,3249,17353,21430
"OBSERVATION.526",46778,6713,4402,19605,20952
"OBSERVATION.527",14360,8641,4779,21643,15580
"OBSERVATION.528",47046,8185,3583,17039,23052
"OBSERVATION.529",25051,5282,2538,15496,21559
"OBSERVATION.530",29087,4693,2594,17256,17058
"OBSERVATION.531",39936,7218,2553,11769,15556
"OBSERVATION.532",15448,6213,4705,18344,17892
"OBSERVATION.533",30235,7546,4728,21050,23308
"OBSERVATION.534",38625,4461,2324,13613,20441
"OBSERVATION.535",34128,5935,4001,16708,18038
"OBSERVATION.536",27021,6920,2306,14400,13197
